property	count
EC_3.1.4.53_(3'_5'_cyclic_AMP_phosphodiesterase)_inhibitor	6
immunosuppressive_agent	66
phenothiazine_antipsychotic_drug	18
EC_5.99.1.2_(DNA_topoisomerase)_inhibitor	29
alpha_secretase_activator	2
beta_adrenergic_antagonist	57
EC_4.3.1.3_(histidine_ammonia_lyase)_inhibitor	5
EC_3.11.1.*_(hydrolases_acting_on_C_P_bonds_of_phosphono_acetaldehyde___acetate__or__pyruvate)_inhibitor	2
reagent	87
calmodulin_antagonist	2
acid_base_indicator	10
antitubercular_agent	49
EC_3.11.1.3_(phosphonopyruvate_hydrolase)_inhibitor	2
glycine_receptor_agonist	4
EC_1.1.1.34/EC_1.1.1.88_(hydroxymethylglutaryl_CoA_reductase)_inhibitor	27
EC_5.3.3.*_(intramolecular_oxidase_transposing_C=C_bonds)_inhibitor	8
GABA_reuptake_inhibitor	4
formyl_peptide_receptor_agonist	1
adenylate_cyclase_agonist	1
EC_1.13.11.*_(oxidoreductase_acting_on_single_donors_and_incorporating_2_O_atoms)_inhibitor	74
dopamine_agonist	33
EC_6.3.5.5_[carbamoyl_phosphate_synthase_(glutamine_hydrolysing)]_inhibitor	1
calcium_ionophore	3
adenosine_A2B_receptor_agonist	1
antimutagen	9
EC_2.4.1.129_(peptidoglycan_glycosyltransferase)_inhibitor	2
protein_kinase_inhibitor	272
osmolyte	16
drug_allergen	136
nucleoside_antibiotic	27
vulnerary	14
proherbicide	25
Saccharomyces_cerevisiae_metabolite	1549
EC_1.1.5.*_(oxidoreductase_acting_on_donor_CH_OH_group__quinone_or_similar_compound_as_acceptor)_inhibitor	1
EC_2.1.2.2_(phosphoribosylglycinamide_formyltransferase)_inhibitor	3
antihypotensive_agent	1
lipid_kinase_inhibitor	31
EC_4.1.1.50_(adenosylmethionine_decarboxylase)_inhibitor	3
kappa_opioid_receptor_agonist	14
odorant_receptor_agonist	3
nonnucleoside_hepatitis_C_virus_polymerase_inhibitor	3
proacaricide	4
nutraceutical	116
flavouring_agent	83
EC_1.14.13.39_(nitric_oxide_synthase)_inhibitor	69
EC_1.14.13.78_(ent_kaurene_oxidase)_inhibitor	3
neurotoxin	94
antidote_to_sarin_poisoning	4
plant_growth_stimulator	2
miotic	5
retinoic_acid_receptor_alpha/beta_agonist	2
lichen_metabolite	5
siderophore	41
HIV_1_integrase_inhibitor	22
EC_2.7.11.11_(cAMP_dependent_protein_kinase)_inhibitor	5
EC_1.3.*_(oxidoreductase_acting_on_donor_CH_CH_group)_inhibitor	66
crystallisation_adjutant	4
EC_1.14.15.4_(steroid_11beta_monooxygenase)_inhibitor	1
plant_metabolite	3647
glucagon_like_peptide_1_receptor_agonist	4
EC_2.4.1.1_(glycogen_phosphorylase)_inhibitor	1
antimicrobial_drug	686
psychotropic_drug	257
EC_2.6.*_(nitrogenous_group_transferase)_inhibitor	4
fatty_acid_oxidation_inhibitor	1
delta_opioid_receptor_agonist	10
chemokine_receptor_5_antagonist	5
squaraine_dye	1
EC_3.2.1.10_(oligo_1_6_glucosidase)_inhibitor	3
xenobiotic_metabolite	934
chromatographic_reagent	14
EC_2.3.3.1_[citrate_(Si)_synthase]_inhibitor	2
EC_2.4.1.*_(hexosyltransferase)_inhibitor	20
electrophilic_reagent	5
EC_2.2.1.*_(transketolase/transaldolase)_inhibitor	18
curing_agent	2
nematicide	64
H4_receptor_agonist	4
antipyretic	62
non_narcotic_analgesic	127
precocenes	4
provitamin	9
contraceptive_drug	22
antiparathyroid_drug	1
radioopaque_medium	26
antifolate	20
EC_1.1.5.3_(glycerol_3_phosphate_dehydrogenase)_inhibitor	1
antibiotic_acaricide	5
sodium_channel_blocker	25
EC_1.21.3.3_(reticuline_oxidase)_inhibitor	1
EC_1.9.*_(oxidoreductase_acting_on_donor_heme_group)_inhibitor	7
EC_1.3.1.9_[enoyl_[acyl_carrier_protein]_reductase_(NADH)]_inhibitor	1
EC_1.1.1.25_(shikimate_dehydrogenase)_inhibitor	4
EC_1.14.13.72_(methylsterol_monooxygenase)_inhibitor	1
detergent	16
EC_3.4.24.18_(meprin_A)_inhibitor	2
smiles	320976
antidote_to_barbiturate_poisoning	1
mouse_metabolite	3083
vesicant	2
EC_1.14.99.1_(prostaglandin_endoperoxide_synthase)_inhibitor	149
sodium_glucose_transport_protein_subtype_2_inhibitor	6
phytosiderophore	12
muscarinic_antagonist	100
ryanodine_receptor_agonist	5
GnRH_antagonist	2
EC_1.10.99.2_[ribosyldihydronicotinamide_dehydrogenase_(quinone)]_inhibitor	2
adenosine_A3_receptor_antagonist	1
phytotoxin	60
P450_inhibitor	34
histamine_agonist	15
LRH_1_agonist	1
GHB_receptor_agonist	1
polar_solvent	65
EC_3.1.27.*_(endoribonucleases_producing_other_than_5'_phosphomonoesters)_inhibitor	1
androgen	153
gonadotropin_releasing_hormone_agonist	6
EC_2.7.4.*_(phosphotransferases_with_a_phosphate_group_as_acceptor)_inhibitor	1
IP3_receptor_agonist	1
monoisotopicmass	14
human_metabolite	4637
EC_3.5.2.*_(non_peptide_cyclic_amide_C_N_hydrolase)_inhibitor	12
NMDA_receptor_agonist	11
glycine_transporter_1_inhibitor	2
laxative	24
antiemetic	62
EC_1.3.1.22_[3_oxo_5alpha_steroid_4_dehydrogenase_(NADP(+))]_inhibitor	7
algal_metabolite	206
Mycoplasma_genitalium_metabolite	133
raising_agent	2
name	311887
antihyperplasia_drug	3
EC_1.14.15.*_(oxidoreductase_acting_on_paired_donors__with_reduced_Fe_S_protein_as_one_donor__incorporating_1_O_atom)_inhibitor	1
EC_4.6.1.2_(guanylate_cyclase)_inhibitor	3
adjuvant	32
EC_1.8.1.4_(dihydrolipoyl_dehydrogenase)_inhibitor	1
pyrethroid_ether_acaricide	1
EC_6.4.1.1_(pyruvate_carboxylase)_inhibitor	2
EC_2.7.3.*_(phosphotransferases_with_a_nitrogenous_group_as_acceptor)_inhibitor	1
tissue_adhesive	2
quorum_sensing_inhibitor	3
tankyrase_inhibitor	1
EC_1.14.16.2_(tyrosine_3_monooxygenase)_inhibitor	4
neurokinin_3_receptor_antagonist	1
protophilic_solvent	8
food_propellant	7
renal_agent	9
EC_1.1.1.1_(alcohol_dehydrogenase)_inhibitor	2
osmotic_diuretic	2
EC_2.5.1.6_(methionine_adenosyltransferase)_inhibitor	1
food_antifoaming_agent	1
polymerisation_monomer	4
EC_1.2.1.3_[aldehyde_dehydrogenase_(NAD(+))]_inhibitor	7
retinoic_acid_receptor_gamma_antagonist	1
adenosine_A2A_receptor_antagonist	5
EC_6.1.1.12_(aspartate__tRNA_ligase)_inhibitor	1
anti_HSV_1_agent	17
EC_6.3.5.4_[asparagine_synthase_(glutamine_hydrolysing)]_inhibitor	1
human_blood_serum_metabolite	109
kisspeptin_receptor_agonist	1
serine_protease_inhibitor	9
CETP_inhibitor	3
bone_density_conservation_agent	38
human_urinary_metabolite	176
neuromuscular_agent	93
nonstructural_protein_5A_inhibitor	2
fossil_fuel	1
carbamylphosphate_synthetase_I_activator	1
EC_1.1.1.*_(oxidoreductase_acting_on_donor_CH_OH_group__NAD(+)_or_NADP(+)_acceptor)_inhibitor	73
natural_product	244803
Daphnia_pulex_metabolite	54
EC_3.6.3.9_(Na(+)/K(+)_transporting_ATPase)_inhibitor	11
nephrotoxic_agent	10
serotonin_uptake_inhibitor	43
p53_activator	2
bacterial_metabolite	2513
EC_2.5.1.7_(UDP_N_acetylglucosamine_1_carboxyvinyltransferase)_inhibitor	2
IP3_receptor_antagonist	2
calcium_dependent_antibiotics	4
antidote	42
EC_1.2.1.88_(L_glutamate_gamma_semialdehyde_dehydrogenase)_inhibitor	1
ophthalmology_drug	37
K_ATP_channel_agonist	2
EC_1.6.5.*_(oxidoreductase_acting_on_NADH_or_NADPH_with_a_quinone_or_similar_as_acceptor)_inhibitor	24
metabotropic_glutamate_receptor_antagonist	3
EC_3.4.22.53_(calpain_2)_inhibitor	2
glycine_transporter_inhibitor	4
EC_1.8.1.9_(thioredoxin_reductase)_inhibitor	2
EC_2.5.1.21_(squalene_synthase)_inhibitor	2
enzyme_inhibitor	2224
EC_3.6.3.1_(phospholipid_translocating_ATPase)_inhibitor	2
withdrawn_flag	244803
EC_2.7.7.49_(RNA_directed_DNA_polymerase)_inhibitor	10
compatible_osmolytes	7
ligand	153
EC_1.3.1.70_(Delta(14)_sterol_reductase)_inhibitor	5
EC_2.7.1.91_(sphingosine_kinase)_inhibitor	2
EC_2.4.*_(glycosyltransferase)_inhibitor	39
EC_2.7.3.2_(creatine_kinase)_inhibitor	1
molecular_weight	312022
EC_2.1.2.*_(hydroxymethyl___formyl__and_related_transferases)_inhibitor	6
hormone_receptor_modulator	335
EC_1.11.2.2_(myeloperoxidase)_inhibitor	2
mitochondrial_cytochrome_bc1_complex_inhibitor	30
anti_inflammatory_agent	610
nonionic_surfactant	21
juvenile_hormone_mimic	9
EC_1.14.14.*_(oxidoreductase_acting_on_paired_donors__incorporating_of_1_atom_of_oxygen__with_reduced_flavin_or_flavoprotein_as_one_donor)_inhibitor	49
EC_2.7.11.31_{[hydroxymethylglutaryl_CoA_reductase_(NADPH)]_kinase}_inhibitor	1
antiglaucoma_drug	33
hormone_agonist	16
allergen	235
androstane_receptor_agonist	4
EC_1.2.*_(oxidoreductase_acting_on_donor_aldehyde/oxo_group)_inhibitor	14
EC_2.7.7.*_(nucleotidyltransferase)_inhibitor	33
biological_role	27273
antinematodal_drug	24
opioid_analgesic	57
plasticiser	13
excitatory_amino_acid_antagonist	36
prostacyclin_receptor_agonist	2
retinoic_acid_receptor_alpha_antagonist	4
female_contraceptive_drug	16
anti_inflammatory_drug	242
aetiopathogenetic_role	835
lepidopteran_inhibitor_of_chitin_biosynthesis	14
nucleophilic_reagent	5
hapten	126
PPAR_modulator	27
serotonergic_antagonist	89
propesticide	36
GABA_agonist	10
food_colour_retention_agent	1
oral_contraceptive	14
EC_2.6.1.40_[(R)_3_amino_2_methylpropionate__pyruvate_transaminase]_inhibitor	1
neuropeptide_FF_receptor_agonist	1
EC_6.3.5.1_[NAD(+)_synthase_(glutamine_hydrolysing)]_inhibitor	1
EC_3.1.3.1_(alkaline_phosphatase)_inhibitor	8
cysteine_protease_inhibitor	27
expectorant	6
human_xenobiotic_metabolite	647
mutagen	195
prohormone	2
DNA_synthesis_inhibitor	35
respiratory_chain_inhibitor	70
peptide_probe	4
EC_6.1.1.4_(leucine__tRNA_ligase)_inhibitor	2
EC_4.2.1.1_(carbonic_anhydrase)_inhibitor	10
profungicide	5
AMPA_receptor_agonist	1
EC_3.5.1.108_(UDP_3_O_acyl_N_acetylglucosamine_deacetylase)_inhibitor	1
cannabinoid_receptor_agonist	30
bone_morphogenetic_protein_receptor_antagonist	2
EC_1.4.*_(oxidoreductase_acting_on_donor_CH_NH2_group)_inhibitor	28
EC_3.5.1.19_(nicotinamidase)_inhibitor	1
bradykinin_receptor_B2_agonist	4
Toll_like_receptor_2_agonist	2
EC_1.3.5.1_[succinate_dehydrogenase_(quinone)]_inhibitor	20
lysine_specific_histone_demethylase_1A_inhibitor	2
muscle_relaxant	88
EC_3.2.1.166_(heparanase)_inhibitor	1
EC_1.4.3.*_(oxidoreductase_acting_on_donor_CH_NH2_group__oxygen_as_acceptor)_inhibitor	25
EC_2.5.1.58_(protein_farnesyltransferase)_inhibitor	4
application	8162
EC_1.3.1.8_[acyl_CoA_dehydrogenase_(NADP(+))]_inhibitor	2
EC_1.14.17.1_(dopamine_beta_monooxygenase)_inhibitor	2
Aspergillus_metabolite	202
EC_1.4.1.3_{glutamate_dehydrogenase_[NAD(P)(+)]}_inhibitor	1
gibberellin_biosynthesis_inhibitor	7
dopamine_receptor_D1_agonist	2
EC_2.3.2.13_(protein_glutamine_gamma_glutamyltransferase)_inhibitor	4
anti_HIV_agent	182
visual_indicator	119
EC_1.14.17.*_(oxidoreductase_acting_on_paired_donors__with_incorporation_or_reduction_of_molecular_oxygen_and_with_reduced_ascorbate_as_one_donor__and_incorporation_of_one_atom_of_oxygen)_inhibitor	2
antibiotic_pesticide	17
insulin_secretagogue	7
anti_asthmatic_drug	51
EC_6.1.1.2_(tryptophan__tRNA_ligase)_inhibitor	2
semiochemical	246
antiatherogenic_agent	3
EC_5.99.1.3_[DNA_topoisomerase_(ATP_hydrolysing)]_inhibitor	39
eugeroic	4
EC_2.4.1.80_(ceramide_glucosyltransferase)_inhibitor	5
isotopic_tracer	1
skin_lightening_agent	7
EC_1.10.*_(oxidoreductase_acting_on_diphenols_and_related_substances_as_donors)_inhibitor	4
EC_2.4.1.255_(protein_O_GlcNAc_transferase)_inhibitor	1
EC_3.6.5.*_(hydrolases_acting_on_GTP;_involved_in_cellular_and_subcellular_movement)_inhibitor	1
photobiochemical_role	19
loop_diuretic	5
EC_1.10.3.*_(oxidoreductase_acting_on_diphenols_and_related_substances_as_donors_with_oxygen_as_acceptor)_inhibitor	1
fixative	4
vitamin_K_antagonist	6
Daphnia_tenebrosa_metabolite	4
EC_2.1.1.79_(cyclopropane_fatty_acyl_phospholipid_synthase)_inhibitor	2
effector	26
EC_6.5.1.1_[DNA_ligase_(ATP)]_inhibitor	1
HIV_protease_inhibitor	23
anti_allergic_agent	77
refrigerant	24
EC_3.1.4.12_(sphingomyelin_phosphodiesterase)_inhibitor	2
cyclooxygenase_1_inhibitor	50
c_Met_tyrosine_kinase_inhibitor	3
EC_3.4.21.6_(coagulation_factor_Xa)_inhibitor	7
EC_2.5.1.31_{ditrans_polycis_undecaprenyl_diphosphate_synthase_[(2E_6E)_farnesyl_diphosphate_specific]}_inhibitor	1
blood_substitute	11
crustacean_metabolite	204
EC_2.3.1.97_(glycylpeptide_N_tetradecanoyltransferase)_inhibitor	1
fumigant_insecticide	6
EC_4.3.1.*_(ammonia_lyase)_inhibitor	16
EC_6.3.5.2_[GMP_synthase_(glutamine_hydrolysing)]_inhibitor	1
photochemical_role	40
antimetabolite	77
EC_6.3.5.*_(carbon_nitrogen_ligases_with_glutamine_as_amido_N_donor)_inhibitor	1
inositol_phosphorylceramide_synthase_inhibitor	1
acaricide_drug	1
EC_3.2.1.114_(mannosyl_oligosaccharide_1_3_1_6_alpha_mannosidase)_inhibitor	1
G_protein_coupled_receptor_antagonist	1
substance_P_receptor_antagonist	1
catalyst	30
marine_xenobiotic_metabolite	107
EC_2.1.1.4_(acetylserotonin_O_methyltransferase)_inhibitor	1
AKT1_kinase_inhibitor	1
EC_2.5.*_(non_methyl_alkyl_or_aryl_transferase)_inhibitor	46
antilipemic_drug	66
gout_suppressant	10
EC_4.*_(lyase)_inhibitor	55
antimalarial	150
sympathomimetic_agent	48
protein_sequencing_agent	1
bronchoconstrictor_agent	11
EC_2.5.1.9_(riboflavin_synthase)_inhibitor	3
EC_1.1.3.*_(oxidoreductase_acting_on_donor_CH_OH_group__oxygen_as_acceptor)_inhibitor	3
EC_1.3.3.*_(oxidoreductase_acting_on_donor_CH_CH_group__oxygen_as_acceptor)_inhibitor	24
EC_3.11.*_(hydrolases_acting_on_C_P_bonds)_inhibitor	2
proteasome_inhibitor	25
glycine_transporter_2_inhibitor	2
EC_1.1.1.170_[3beta_hydroxysteroid_4alpha_carboxylate_3_dehydrogenase_(decarboxylating)]_inhibitor	1
EC_2.7.10.1_(receptor_protein_tyrosine_kinase)_inhibitor	37
diagnostic_imaging_agent	50
acyl_donor	823
EC_3.4.11.18_(methionyl_aminopeptidase)_inhibitor	2
S100_calcium_binding_protein_B_inhibitor	1
EC_4.2.*_(C_O_lyase)_inhibitor	17
microarray_analysis_reagent	2
scabicide	8
NMR_shift_reagent	1
EC_4.6.*_(P_O_lyase)_inhibitor	5
EC_3.1.1.1_(carboxylesterase)_inhibitor	17
antisense_oligonucleotide	7
EC_1.15.*_(oxidoreductase_acting_on_superoxide_as_acceptor)_inhibitor	2
EC_4.3.1.10_(serine_sulfate_ammonia_lyase)_inhibitor	5
sodium_channel_modulator	90
food_firming_agent	4
pharmaceutical	5605
EC_2.7.11.10_(IkappaB_kinase)_inhibitor	2
GABA_antagonist	8
calcium_channel_agonist	8
EC_3.4.13.19_(membrane_dipeptidase)_inhibitor	2
EC_1.11.1.6_(catalase)_inhibitor	3
EC_1.3.98.1_[dihydroorotate_oxidase_(fumarate)]_inhibitor	2
antiparasitic_agent	368
Escherichia_coli_metabolite	1299
bile_therapy_drug	1
EC_1.14.16.*_(oxidoreductase_acting_on_paired_donors__reduced_pteridine_as_one_donor__incorporating_1_atom_of_oxygen)_inhibitor	4
antileishmanial_agent	40
beta_adrenergic_agonist	54
diagnostic_agent	90
colour_indicator	118
serotonergic_drug	178
corticotropin_releasing_factor_receptor_antagonist	3
food_bulking_agent	2
surfactant	70
lachrymator	5
EC_3.4.21.*_(serine_endopeptidase)_inhibitor	82
EC_3.4.13.*_(dipeptidase)_inhibitor	2
membrane_transport_modulator	477
monoisotopic_mass	98074
adenosine_A3_receptor_agonist	1
flour_treatment_agent	11
EC_2.3.2.*_(aminoacyltransferase)_inhibitor	5
electron_transport_chain_inhibitor	75
dopamine_receptor_D2_antagonist	3
antimicrobial_food_preservative	10
EC_3.4.21.64_(peptidase_K)_inhibitor	1
chain_carrier	1
EC_1.14.11.1_(gamma_butyrobetaine_dioxygenase)_inhibitor	1
amphiprotic_solvent	8
EC_1.13.11.24_(quercetin_2_3_dioxygenase)_inhibitor	1
EC_3.1.4.17_(3'_5'_cyclic_nucleotide_phosphodiesterase)_inhibitor	3
angiogenesis_inhibitor	48
EC_1.1.*_(oxidoreductase_acting_on_donor_CH_OH_group)_inhibitor	77
vibriostatic_agent	1
EC_2.1.1.6_(catechol_O_methyltransferase)_inhibitor	2
EC_4.1.1.23_(orotidine_5'_phosphate_decarboxylase)_inhibitor	1
EC_1.10.3.1_(catechol_oxidase)_inhibitor	1
intercalator	22
kappa_opioid_agent	14
TRPM4_channel_inhibitor	1
EC_2.*_(transferase)_inhibitor	538
CB1_receptor_antagonist	2
pronematicide	3
radioactive_imaging_agent	8
EC_4.4.1.14_(1_aminocyclopropane_1_carboxylate_synthase)_inhibitor	2
EC_2.7.11.17_(Ca(2+)/calmodulin_dependent_protein_kinase)_inhibitor	1
EC_1.21.3.*_(oxidoreductase_acting_on_X_H_and_Y_H_to_form_an_X_Y_bond__with_oxygen_as_acceptor)_inhibitor	1
protein_kinase_A_agonist	1
antidiarrhoeal_drug	10
antisyphilitic_drug	3
EC_1.14.13.70_(sterol_14alpha_demethylase)_inhibitor	49
virulence_factor	4
mitochondrial_respiratory_chain_inhibitor	65
fragrance	83
NF_kappaB_inhibitor	43
insulin_like_growth_factor_receptor_1_antagonist	6
epitope	655
antibiotic_nematicide	1
EC_1.1.1.37_(malate_dehydrogenase)_inhibitor	1
antidote_to_opioid_poisoning	4
EC_2.4.2.4_(thymidine_phosphorylase)_inhibitor	2
food_additive	207
angiotensin_receptor_antagonist	13
dopaminergic_agent	129
carcinogenic_agent	256
EC_1.1.1.159_(7alpha_hydroxysteroid_dehydrogenase)_inhibitor	1
EC_4.3.*_(C_N_lyase)_inhibitor	16
EC_4.2.1.20_(tryptophan_synthase)_inhibitor	1
liver_X_receptor_agonist	1
food_colouring	34
EC_3.6.3.*_(acid_anhydride_hydrolase_catalysing_transmembrane_movement_of_substances)_inhibitor	40
H1_receptor_antagonist	88
plant_activator	6
antiseborrheic	6
alpha_adrenergic_antagonist	40
EC_6.4.1.*_(carboxylase)_inhibitor	25
sex_hormone	242
anticonvulsant	90
EC_1.8.5.4_(sulfide:quinone_reductase)_inhibitor	1
cyclooxygenase_2_inhibitor	87
antiviral_agent	369
antifungal_agent	747
EC_5.4.3.*_(intramolecular_transferase_transferring_amino_groups)_inhibitor	1
ion_transport_inhibitor	3
EC_3.4.11.*_(aminopeptidase)_inhibitor	4
insect_repellent	10
fatty_acid_synthesis_inhibitor	5
EC_1.14.99.*_(miscellaneous_oxidoreductase_acting_on_paired_donors__with_incorporation_or_reduction_of_molecular_oxygen)_inhibitor	151
histaminergic_drug	140
prosthetic_group	117
cathartic	15
EC_1.8.1.*_(oxidoreductase_acting_on_sulfur_group_of_donors__NAD(+)_or_NADP(+)_as_acceptor)_inhibitor	11
photosynthetic_electron_transport_chain_inhibitor	5
nitric_oxide_synthase_activator	3
partial_prostacyclin_agonist	1
pregnane_X_receptor_agonist	3
prokaryotic_metabolite	2528
Hsp90_inhibitor	24
food_packaging_gas	15
astringent	138
antagonist	442
EC_1.14.18.*_(oxidoreductase_acting_on_paired_donors__miscellaneous_compound_as_one_donor__incorporating_1_atom_of_oxygen)_inhibitor	32
EC_3.2.1.28_(alpha_alpha_trehalase)_inhibitor	3
tyrosine_kinase_inhibitor	102
radiosensitizing_agent	8
sensitiser	20
EC_3.1.1.3_(triacylglycerol_lipase)_inhibitor	12
antioxidant	498
parenteral	244803
EC_1.1.1.21_(aldehyde_reductase)_inhibitor	22
polar_aprotic_solvent	24
H1_receptor_agonist	1
EC_1.11.1.*_(peroxidases)_inhibitor	5
retinoic_acid_receptor_gamma_agonist	1
pyrethroid_ester_insecticide	61
EC_1.14.14.1_(unspecific_monooxygenase)_inhibitor	34
EC_1.6.*_(oxidoreductase_acting_on_NADH_or_NADPH)_inhibitor	27
TRPA1_channel_agonist	3
antimineralocorticoid	4
volatile_oil_component	169
HIV_1_Tat_inhibitor	1
EC_4.1.*_(C_C_lyase)_inhibitor	14
erythropoietin_inhibitor	2
pathway_inhibitor	191
Papio_hamadryas_metabolite	165
histone_acetyltransferase_activator	1
non_steroidal_anti_inflammatory_drug	169
incretin_mimetic	1
potassium_channel_modulator	25
hepatotoxic_agent	48
fluorochrome	558
coral_metabolite	64
food_acidity_regulator	18
EC_1.1.1.184_[carbonyl_reductase_(NADPH)]_inhibitor	2
progestogen	20
provitamin_B1	1
EC_6.3.2.19_(ubiquitin__protein_ligase)_inhibitor	1
environmental_food_contaminant	2
alicyclic_antibiotics	1
glucagon_like_peptide_2_receptor_agonist	1
pyrethroid_insecticide	64
first_generation_antipsychotic	35
inhibitor	2445
EC_1.13.11.34_(arachidonate_5_lipoxygenase)_inhibitor	21
EC_5.1.3.2_(UDP_glucose_4_epimerase)_inhibitor	1
reactive_oxygen_species_generator	1
cis_Golgi_ArfGEF_GBF_inhibitor	4
EC_1.13.11.33_(arachidonate_15_lipoxygenase)_inhibitor	13
antifeedant	29
EC_4.3.1.15_(diaminopropionate_ammonia_lyase)_inhibitor	5
alkylating_agent	78
EC_3.4.24.35_(gelatinase_B)_inhibitor	4
nuclear_receptor_modulator	10
Maillard_reaction_product	18
topical_anaesthetic	6
phospholipid_biosynthesis_inhibitor	5
food_preservative	31
erythropeotin_receptor_agonist	2
molecular_formula	324167
Daphnia_magna_metabolite	128
EC_3.5.*_(hydrolases_acting_on_non_peptide_C_N_bonds)_inhibitor	87
PERK_inhibitor	1
EC_2.7.1.127_(inositol_trisphosphate_3_kinase)_inhibitor	1
insecticide	387
hyaluronic_acid_synthesis_inhibitor	1
cathepsin_L_(EC_3.4.22.15)_inhibitor	6
Wnt_signalling_inhibitor	5
EC_3.4.15.*_(peptidyl_dipeptidase)_inhibitor	38
bronchodilator_agent	81
EC_2.7.11.31_{[hydroxymethylglutaryl_CoA_reductase_(NADPH)]_kinase}_activator	1
odorant_receptor_antagonist	1
Lewis_acid	13
GABA_gated_chloride_channel_antagonist	9
EC_1.*_(oxidoreductase)_inhibitor	670
EC_2.7.11.1_(non_specific_serine/threonine_protein_kinase)_inhibitor	36
EC_2.2.1.6_(acetolactate_synthase)_inhibitor	18
sclerotherapy_agent	2
EC_6.3.1.2_(glutamate__ammonia_ligase)_inhibitor	6
EC_2.3.1.21_(carnitine_O_palmitoyltransferase)_inhibitor	1
EC_1.2.1.12_[glyceraldehyde_3_phosphate_dehydrogenase_(phosphorylating)]_inhibitor	1
Good's_buffer_substance	37
appetite_regulator	18
EC_2.5.1.48_(cystathionine_gamma_synthase)_inhibitor	1
EC_3.4.11.14_(cytosol_alanyl_aminopeptidase)_inhibitor	1
melanin_synthesis_inhibitor	25
protein_kinase_agonist	21
thrombopoietin_receptor_agonist	1
tocolytic_agent	9
antibiotic_insecticide	14
EC_3.5.1.2_(glutaminase)_inhibitor	2
EC_5.99.*_(other_isomerases)_inhibitor	71
P2Y12_receptor_antagonist	8
protecting_group	15
leukotriene_antagonist	9
food_emulsifier	8
EC_2.3.*_(acyltransferase)_inhibitor	52
Daphnia_metabolite	201
luciferin	19
triazine_insecticide	1
herbicide_safener	5
cytokinin	35
apoptosis_inhibitor	42
antidote_to_benzodiazepine_poisoning	1
sphingosine_1_phosphate_receptor_agonist	4
insulin_release_inhibitor	1
antiauxins	1
local_anaesthetic	50
central_nervous_system_drug	478
Jacobaea_metabolite	26
EC_1.5.1.3_(dihydrofolate_reductase)_inhibitor	18
EC_1.17.*_(oxidoreductase_acting_on_CH_or_CH2)_inhibitor	12
donor	9470
phosphodiesterase_IV_inhibitor	6
EC_1.13.11.52_(indoleamine_2_3_dioxygenase)_inhibitor	2
EC_3.6.5.5_(dynamin_GTPase)_inhibitor	1
genotoxin	237
EC_4.1.1.28_(aromatic_L_amino_acid_decarboxylase)_inhibitor	4
EC_5.3.*_(intramolecular_oxidoreductase)_inhibitor	9
vitamin_C	3
pro-agent	204
EC_2.7.10.*_(protein_tyrosine_kinase)_inhibitor	55
fungal_xenobiotic_metabolite	21
EC_6.1.1.11_(serine__tRNA_ligase)_inhibitor	1
nutrient	219
EC_6.*_(ligase)_inhibitor	43
EC_3.6.3.49_(channel_conductance_controlling_ATPase)_inhibitor	3
food_thickening_agent	3
EC_3.4.19.*_(omega_peptidase)_inhibitor	3
glutamate_transporter_activator	1
EC_2.3.1.20_(diacylglycerol_O_acyltransferase)_inhibitor	1
thromboxane_A2_antagonist	4
Grignard_reagent	2
proinsecticide	9
EC_2.3.1.48_(histone_acetyltransferase)_inhibitor	8
mu_opioid_receptor_antagonist	7
fungal_metabolite	2318
EC_6.1.1.*_(ligases_forming_aminoacyl_tRNA_and_related_compounds)_inhibitor	7
specialised_pro_resolving_mediator	58
chromophore	16
protein_kinase_C_agonist	9
phase_transfer_catalyst	3
dye	729
EC_3.4.22.36_(caspase_1)_inhibitor	2
potassium_channel_opener	4
food_additive_carrier	1
metabolite	20776
cell_dedifferentiation_agent	1
EC_5.4.99.7_(lanosterol_synthase)_inhibitor	2
antimitotic	36
anticholesteremic_drug	40
excitatory_amino_acid_agonist	12
sialyltransferase_inhibitor	1
marine_metabolite	409
EC_3.1.1.7_(acetylcholinesterase)_inhibitor	155
food_stabiliser	3
EC_3.5.4.*_(non_peptide_cyclic_amidine_C_N_hydrolase)_inhibitor	8
fibrin_modulating_drug	8
phytogenic_insecticide	19
anaesthetic	98
anti_HIV_2_agent	6
EC_1.17.4.*_(oxidoreductase_acting_on_CH_or_CH2_with_a_disulfide_as_acceptor)_inhibitor	4
topoisomerase_inhibitor	71
EC_2.4.2.14_(amidophosphoribosyltransferase)_inhibitor	1
iron_ionophore	53
EC_6.3.2.2_(glutamate__cysteine_ligase)_inhibitor	1
EC_3.6.*_(hydrolases_acting_on_acid_anhydrides)_inhibitor	76
molecule_type	244803
gamma_secretase_modulator	3
calcimimetic	2
RhoC_inhibitor	1
EC_2.7.4.6_(nucleoside_diphosphate_kinase)_inhibitor	1
EC_1.17.3.*_(oxidoreductase_acting_on_CH_or_CH2_with_oxygen_as_acceptor)_inhibitor	8
continuant	13726
EC_2.1.2.1_(glycine_hydroxymethyltransferase)_inhibitor	3
EC_5.4.3.2_(lysine_2_3_aminomutase)_inhibitor	1
antiplatyhelmintic_drug	11
signalling_molecule	96
vasodilator_agent	135
inchikey	315397
thyroid_hormone	5
EC_4.1.1.39_(ribulose_bisphosphate_carboxylase)_inhibitor	1
adrenergic_uptake_inhibitor	26
